日期,磨损传感器
19/09/2022,133.0
20/09/2022,133.0
21/09/2022,133.0
22/09/2022,133.0
23/09/2022,133.0
24/09/2022,133.0
25/09/2022,133.0
26/09/2022,133.0
27/09/2022,133.0
28/09/2022,133.0
29/09/2022,133.0
30/09/2022,133.0
1/10/2022,133.0
2/10/2022,133.0
3/10/2022,133.0
4/10/2022,133.0
5/10/2022,133.0
6/10/2022,133.0
7/10/2022,133.0
8/10/2022,133.0
9/10/2022,133.0
10/10/2022,133.0
11/10/2022,133.0
12/10/2022,133.0
13/10/2022,133.0
14/10/2022,133.0
15/10/2022,135.0
16/10/2022,135.0
17/10/2022,135.0
18/10/2022,135.0
19/10/2022,135.0
20/10/2022,135.0
21/10/2022,135.0
22/10/2022,135.0
23/10/2022,135.0
24/10/2022,135.0
25/10/2022,135.0
26/10/2022,135.0
27/10/2022,135.0
28/10/2022,135.0
29/10/2022,135.0
30/10/2022,135.0
31/10/2022,135.0
1/11/2022,135.0
2/11/2022,135.0
3/11/2022,135.0
4/11/2022,137.0
5/11/2022,137.0
6/11/2022,137.0
7/11/2022,137.0
8/11/2022,137.0
9/11/2022,137.0
10/11/2022,137.0
11/11/2022,137.0
12/11/2022,137.0
13/11/2022,137.0
14/11/2022,137.0
15/11/2022,137.0
16/11/2022,137.0
17/11/2022,137.0
18/11/2022,137.0
19/11/2022,137.0
20/11/2022,137.0
21/11/2022,137.0
22/11/2022,137.0
23/11/2022,137.0
24/11/2022,137.0
25/11/2022,137.0
26/11/2022,137.0
27/11/2022,137.0
28/11/2022,137.0
29/11/2022,137.0
30/11/2022,137.0
1/12/2022,137.0
2/12/2022,139.0
3/12/2022,139.0
4/12/2022,139.0
5/12/2022,139.0
6/12/2022,139.0
7/12/2022,139.0
8/12/2022,139.0
9/12/2022,139.0
10/12/2022,139.0
11/12/2022,139.0
12/12/2022,139.0
13/12/2022,139.0
14/12/2022,139.0
15/12/2022,139.0
16/12/2022,139.0
17/12/2022,139.0
18/12/2022,139.0
19/12/2022,139.0
20/12/2022,139.0
21/12/2022,139.0
22/12/2022,139.0
23/12/2022,139.0
24/12/2022,139.0
25/12/2022,139.0
26/12/2022,139.0
27/12/2022,139.0
28/12/2022,139.0
29/12/2022,139.0
30/12/2022,139.0
31/12/2022,139.0
1/01/2023,139.0
2/01/2023,139.0
3/01/2023,141.0
4/01/2023,141.0
5/01/2023,141.0
6/01/2023,141.0
7/01/2023,141.0
8/01/2023,141.0
9/01/2023,141.0
10/01/2023,141.0
11/01/2023,141.0
12/01/2023,141.0
13/01/2023,141.0
14/01/2023,141.0
15/01/2023,141.0
16/01/2023,141.0
17/01/2023,141.0
18/01/2023,141.0
19/01/2023,141.0
20/01/2023,141.0
21/01/2023,141.0
22/01/2023,141.0
23/01/2023,141.0
24/01/2023,141.0
25/01/2023,141.0
26/01/2023,141.0
27/01/2023,141.0
28/01/2023,141.0
29/01/2023,141.0
30/01/2023,141.0
31/01/2023,141.0
1/02/2023,141.0
2/02/2023,143.0
3/02/2023,143.0
4/02/2023,143.0
5/02/2023,143.0
6/02/2023,143.0
7/02/2023,143.0
8/02/2023,143.0
9/02/2023,143.0
10/02/2023,143.0
11/02/2023,143.0
12/02/2023,143.0
13/02/2023,143.0
14/02/2023,143.0
15/02/2023,143.0
16/02/2023,143.0
17/02/2023,143.0
18/02/2023,143.0
19/02/2023,143.0
20/02/2023,143.0
21/02/2023,143.0
22/02/2023,143.0
23/02/2023,143.0
24/02/2023,143.0
25/02/2023,143.0
26/02/2023,143.0
27/02/2023,143.0
28/02/2023,143.0
1/03/2023,145.0
2/03/2023,145.0
3/03/2023,145.0
4/03/2023,145.0
5/03/2023,145.0
6/03/2023,145.0
7/03/2023,145.0
8/03/2023,145.0
9/03/2023,145.0
10/03/2023,145.0
11/03/2023,145.0
12/03/2023,145.0
13/03/2023,145.0
14/03/2023,145.0
